ASV	percent	length	taxid	accession	correction
ASV_16473	98.471	327	1010510, 1010453	JF488824, JF488797	322.00017
ASV_16474	97.576	330	88552	MK358946, MK358935, MK358933	322.0008
ASV_16475	93.393	333	629760	FJ824131	310.99869
ASV_16476	99.083	327	1010439	JF488784	324.00141
ASV_1648	94.72	322	373401	MH469226	304.9984
ASV_16486	99.077	325	2291004, 1230320, 655474, 1719758	MH688480, MH688479, KY980228, KY980159, KT730064	322.00025
ASV_1649	99.387	326	414672, 181622	AM412524, AF399135, AF399134, AF399133, AF399132	324.00162
ASV_16492	96.933	326	1010505	JF488821	316.00158
ASV_165	98.78	328	1641413	OR921549, OR921546, KR139784	323.9984
ASV_1650	100	332	9644	XR_007188992	332
ASV_1651	88.852	305	88552	MK367941, MK367936	270.9986
ASV_1652	100	326	1045432, 762664, 762665	JF903644, GU357626, GU357624	326
ASV_1653	100	331	1907792, 291031, 2590921, 2590921;2590922	MT499904, MT499900, MW494575, MW494574, MN096944	331
ASV_1654	98.48	329	262427, 262428, 289378, 310565	OQ680142, LC515992, LC515991, HM067007, HM067005, DQ847435, AY743960	323.9992
ASV_1655	92	325	181122, 2315893, 2315890	MF527269, MF527266, MF460780, MF460777	299
ASV_1656	96.341	328	418940, 1038839, 127562	KT861320, AB636316, KF422620, AM490984, AM490983	315.99848
ASV_1657	99.667	300	420258	FJ002197	299.001
ASV_16574	98.765	324	296587, 38833, 1907928, 1570327	MT117943, KY980374, KY980365, KY980282, LC806249, LC806245, LC806243, LC806242, KX523155, KU244669, KU244663, KU244659, KU244653, KU244645, KU244641, KU244638, KU244632, KU612123, KT860888, KT860879, KP899802, OQ436457, OQ428650, KR089059, KJ010081, OM521954, KF501035, KF501030, KF501024, KF501019, JF791090, HM191693, CP001575, AB183589, AY955010, AY955011, AY954998, AY955008, AY955007, AY955006, AY955002, AY955001, AY954997, AY954993	319.9986
ASV_16583	93.353	331	2805720	MW521826	308.99843
ASV_1659	98.476	328	1155437, 1155434, 1104436, 483369, 189818	JN934682, JN934678, HQ710561, EU247836, AB081517	323.00128
ASV_16595	98.466	326	1955566	KY980292, KY980279	320.99916
ASV_166	99.392	329	2010215, 2684370, 344733, 407301, 66473	KY996787, ON358395, MN821569, JQ639763, JF791096, AF022201	326.99968
ASV_1660	98.746	319	1239448	JX661034	314.99974
ASV_16606	98.176	329	1679438, 160602, 547557	KY980245, ON015053, FM180528	322.99904
ASV_1661	96.988	332	361426	DQ303923, DQ303922	322.00016
ASV_16627	90.419	334	3162686	PP905706	301.99946
ASV_16629	97.872	329	732115, 285985, 433501	FN669511, FN669510, AM503930	321.99888
ASV_16632	97.256	328	1641414	KR139783, KR139782, KR139781	318.99968
ASV_1664	99.691	324	324873, 746505	MG660999, KR048725, MN784587, GU969179, GU594643	322.99884
ASV_1666	100	329	88552	MK367881	329
ASV_16662	98.16	326	655474, 2023678	KY980064, MF445659	320.0016
ASV_16664	98.765	324	56245	MG979354, EU247821	319.9986
ASV_1667	96.979	331	151027	AF290540	321.00049
ASV_16676	98.758	322	515487, 2805724	KY980041, MW521830	318.00076
ASV_16678	98.489	331	2856	KY980216, KY054946, KU561207, KU561206, KU561205, KU561117	325.99859
ASV_16679	99.088	329	160602, 106539, 2684370, 407301, 160612, 66473	ON015053, JX262492, MN821569, JF791096, AF274270, AF022201	325.99952
ASV_1668	98.769	325	2291002, 1926331, 1434982, 1537145, 2974344, 211094	MH688481, KX576668, KX576667, KX576666, KX576665, KX576664, KU525746, KJ609053, OP288114, KJ534583, AY143564	320.99925
ASV_16680	99.693	326	1982032	KY980278, KY980267, KY980255, KY980005	324.99918
ASV_16683	97.892	332	151027	KY979984	325.00144
ASV_16686	91.566	332	88552	MK368364	303.99912
ASV_16687	98.48	329	2576346, 89963	MK883043, MK883042, MK883041, MH071708	323.9992
ASV_16689	99.696	329	2805730	MW521836	327.99984
ASV_16690	100	322, 308	426631, 3064076, 1764853	MG972244, MG972242, OR564193, KT861007, LC847701	322, 308
ASV_16692	96.97	330	2737759, 2737758, 2856, 2854, 1034816, 582755	MT489381, MT489377, MH166733, PQ645492, KY980122, MG022764, KY045848, OR922717, KX981848, KX981847, LC787636, OR286793, OM891869, ON942238, OK147662, OK483377, MW750335, FR865492, MN943995, HQ912645, GQ468546, GQ468544, GQ468542, GQ468541, GQ468540, GQ468539, GQ468538, GQ468536, GQ468535, GQ468534, GQ468533, GQ468532, GQ468531, FJ546711, DQ178392, DQ082741, DQ082739, DQ082738, DQ019446	320.001
ASV_16693	96.364	330	655750, 2876143	MN121046, KY980003, KY979974, LC189090, OK147663	318.0012
ASV_16694	96.353	329	89963, 66473, 1641413	KY980322, JF791053, JF791029, OR921549, OR921546, KR139784	317.00137
ASV_16695	95.195	333	2805718	MW521824	316.99935
ASV_167	100	324	242159, 2587268, 70448, 181122, 2828848, 2801507, 1420648, 1420647, 1420646, 1420645, 1420644, 1420640, 1420638, 1420637, 1420636, 1420635, 1420634, 1420632, 1420631, 1406831;1406838, 1406837, 1406834, 1406830, 1406829, 1406828, 1171686, 1171678;1171685, 1171684, 1171683, 1171682, 1171681, 1171680, 1171679, 1171677, 1171669;1171676, 1171675, 1171672;1171673, 1171671, 1171670, 1171674, 436017, 252315, 156130	MT117941, MH348882, LC779581, KT860912, KT860898, KT860897, KT860895, KT860887, MZ823803, MZ823795, MZ823793, MZ823790, MZ823788, MW969632, MW451616, KF577971, KF577970, KF577969, KF577968, KF577967, KF577963, KF577961, KF577960, KF577959, KF577958, KF577957, KF577955, KF577954, KC210887, KC210893, KC210890, KC210886, KC210885, KC210884, JN862919, JN862911, JN862917, JN862916, JN862915, JN862914, JN862913, JN862912, JN862910, JN862903, JN862908, JN862906, JN862905, JN862904, JN862902, GQ426347, GQ426346, GQ426344, GQ426340, GQ426332, GQ426331, GQ426335, GQ426334, GQ426333, CP000592, CP000588, AY425313, AY329635, AB058376, Y15814	324
ASV_1670	99.392	329	1641588, 2920, 2039876, 376364, 2684369, 35672	OR943602, KU900227, OP968025, AB716909, MN821565, AF274266	326.99968
ASV_16701	95.468	331	659878, 2593073, 2592187, 2592186, 265540, 2315412, 159748, 29205, 349456, 631387, 337443	MN528649, MN528648, MN528646, MN528645, MN528641, MN528640, MN528639, MN528638, MN528637, MN528636, MN528635, MN528634, MN528633, MN528632, MN528631, MN528630, MN528629, MN528628, MN528627, MN528624, MN121051, MN121049, PQ645533, PQ645530, PQ645489, PQ587455, MH843670, MH843669, KY980193, MG022771, OR922671, KY912618, KY912617, KY912616, LC779583, OL851894, MN179316, HQ912576, HQ912563, FJ590771, FJ590770, FJ590769, FJ590768, DQ514872, AY485472, DQ093363, AM050629	315.99908
ASV_16707	92.727	330	89963	KY980322	305.9991
ASV_16708	100	317	1955568	KX431474	317
ASV_16709	96.942	327	1955561, 1545446, 2919513, 1276173, 1274397, 1276030, 1276066, 1273161, 1276039, 1155554, 37642, 293210, 37475	KX100595, OR361745, KM516202, LC683685, JQ967329, JQ967327, JQ967326, JQ967325, JQ967324, JQ967323, JN934668, EF432519, EF432518, AY651096, AF174376, AF109324, AF109323	317.00034
ASV_1671	98.485	330	1453980	KF791348	325.0005
ASV_16720	96.97	330	1157699	MG202005, JN934891	320.001
ASV_16721	98.447	322	1720109, 1891234, 1176367, 1176324, 1176325, 513285, 1176449, 626735	KY290318, KU715763, KT792929, JQ408202, JQ408188, JQ408179, JQ408174, JQ408172, JQ408170, JQ408167, JQ408166, JQ408154, FJ196074	316.99934
ASV_16723	90.39	333	407301, 88552	KY980424, KY980419, KY980413, KY980411, KY980410, KY980408, KY980396, KY980393, KY980389, KY980384, KY980383, KY980375, KY980368, KY980360, KY980356, KY980354, KY980343, KY980335, KY980333, KY980248, KY980237, KY980235, KY980231, KY980230, KY980224, KY980222, KY980221, KY980218, KY980215, KY980210, KY980207, KY980205, KY980203, KY980196, KY980187, KY980185, KY980173, KY980170, KY980169, KY980167, KY980166, KY980165, KY980162, KY980161, KY980111, KY980044, KY980002, KY979991, KY979983, OM943593, JF791049	300.9987
ASV_16724	96	325	33657, 33659	ON888443, OM688896, KF925339, JN381493, AB058367, AF182114, X77475, X77479, X77478, X77480	312
ASV_16725	99.392	329	89963, 342588	KY980409, KY980406, OQ680141	326.99968
ASV_16728	99.088	329	447210	OQ162335	325.99952
ASV_16734	91.018	334	1157699, 1315715, 1157701, 1035838, 1010455, 1010438	MG202005, JN934891, JX988758, JN934893, JN934890, JF488798, JF488783	304.00012
ASV_16739	98.48	329	1486463, 2611280, 2748608	HG970975, LC603171, LC603170, LC599498	323.9992
ASV_1674	94.895	333	627966	FJ799794	316.00035
ASV_16740	97.239	326	1719758, 2066531	KT730064, MG727703	316.99914
ASV_16747	95.758	330	3086146	OR921528	316.0014
ASV_1675	99.385	325	655474	KY980228, KY980159	323.00125
ASV_16752	98.788	330	265543, 1155433	LC189088, OK147650, OK147649, JN934677	326.0004
ASV_16754	97.576	330	2737759, 2737758, 2856, 2854, 1034816, 582755	MT489381, MT489377, MH166733, PQ645492, KY980216, KY980122, MG022764, KY054946, KY045848, OR922717, KX981848, KX981847, KU561207, KU561206, KU561205, KU561117, LC787636, OR286793, OM891869, ON942238, OK147662, OK483377, MW750335, FR865492, MN943995, HQ912645, GQ468546, GQ468544, GQ468542, GQ468541, GQ468540, GQ468539, GQ468538, GQ468536, GQ468535, GQ468534, GQ468533, GQ468532, GQ468531, FJ546711, DQ178392, DQ082741, DQ082739, DQ082738, DQ019446	322.0008
ASV_16759	97.872	329	156128, 41886	PQ587458, OR922706, OR922669, JN934688, AY425306, AB158376, AB058391, X75565	321.99888
ASV_1676	99.691	324	136184, 148993, 184761, 2056978, 119372, 746506	MG661071, MG661070, MG661069, MG661068, MG661067, MG661066, MG661065, MG661063, MG661061, MG661060, MG661059, MG661058, MG661057, MG661053, MG661052, MG660873, MG660872, MG660871, JX995322, JX995319, MN784616, GU594644	322.99884
ASV_16760	98.171	328	1641413	OR921549, OR921546, KR139784	322.00088
ASV_16765	98.471	327	2022000, 641229	MF527271, FJ422993	322.00017
ASV_16770	99.689	322	195504	OQ878394	320.99858
ASV_16772	99.697	330	1497510, 1035519, 49240, 1764972	PQ645517, KX253957, OR286796, KT860958, ON798420, JF794042, MT796594	329.0001
ASV_16779	96.615	325	33657, 33659	ON888443, OM688896, KF925339, JN381493, AB058367, AF182114, X77475, X77479, X77478, X77480	313.99875
ASV_1678	89.859	355	1982022	KY980258	318.99945
ASV_16780	90.746	335	1043735	HM536154	303.9991
ASV_16783	89.073	302	1348975, 2055951	KX138653, MK882887	269.00046
ASV_1679	99.091	330	88552	PP905702, MK368314, MK367861	327.0003
ASV_16793	97.866	328	1641413	OR921549, OR921546, KR139784	321.00048
ASV_16798	93.656	331	3086146	OR921528	310.00136
ASV_168	95.455	330	2591690, 2820086	MH497027, MZ475030, MZ475047, MW784601, MW784600, MW267276, KF446619, AY443018	315.0015
ASV_1680	87.037	324	1297756	FJ870070	281.99988
ASV_1681	98.171	328	1982032	KY980023, KY980015	322.00088
ASV_1682	96.97	330	407301	KY980186	320.001
